Suburb,Rooms,Type,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price
Abbotsford,2,h,S,3/12/2016,2.5,3067,2,1,1,202,,,-37.7996,144.9984,Northern Metropolitan,4019,1480000
Abbotsford,2,h,S,4/2/2016,2.5,3067,2,1,0,156,79,1900,-37.8079,144.9934,Northern Metropolitan,4019,1035000
Abbotsford,3,h,SP,4/3/2017,2.5,3067,3,2,0,134,150,1900,-37.8093,144.9944,Northern Metropolitan,4019,1465000
Abbotsford,3,h,PI,4/3/2017,2.5,3067,3,2,1,94,,,-37.7969,144.9969,Northern Metropolitan,4019,850000
Abbotsford,4,h,VB,4/6/2016,2.5,3067,3,1,2,120,142,2014,-37.8072,144.9941,Northern Metropolitan,4019,1600000
Abbotsford,2,h,S,7/5/2016,2.5,3067,2,1,0,181,,,-37.8041,144.9953,Northern Metropolitan,4019,941000
Abbotsford,3,h,S,7/5/2016,2.5,3067,4,2,0,245,210,1910,-37.8024,144.9993,Northern Metropolitan,4019,1876000
Abbotsford,2,h,S,8/10/2016,2.5,3067,2,1,2,256,107,1890,-37.806,144.9954,Northern Metropolitan,4019,1636000
Abbotsford,1,u,S,8/10/2016,2.5,3067,1,1,1,0,,,-37.8008,144.9973,Northern Metropolitan,4019,300000
Abbotsford,2,h,S,8/10/2016,2.5,3067,3,1,2,220,75,1900,-37.801,144.9989,Northern Metropolitan,4019,1097000
Abbotsford,2,u,VB,12/11/2016,2.5,3067,2,2,1,0,,,-37.811,145.0067,Northern Metropolitan,4019,700000
Abbotsford,3,h,VB,12/11/2016,2.5,3067,3,2,2,214,190,2005,-37.8085,144.9964,Northern Metropolitan,4019,1350000
Abbotsford,2,u,S,12/11/2016,2.5,3067,2,2,1,0,94,2009,-37.8078,144.9965,Northern Metropolitan,4019,750000
Abbotsford,2,h,S,13/08/2016,2.5,3067,2,1,1,195,,,-37.8084,144.9973,Northern Metropolitan,4019,1172500
Abbotsford,1,u,SP,14/05/2016,2.5,3067,1,1,1,0,,,-37.8016,144.9988,Northern Metropolitan,4019,441000
Abbotsford,2,h,S,15/10/2016,2.5,3067,2,1,2,238,97,1890,-37.809,144.9976,Northern Metropolitan,4019,1310000
Abbotsford,3,h,S,16/07/2016,2.5,3067,3,2,1,113,110,1880,-37.8056,144.993,Northern Metropolitan,4019,1200000
Abbotsford,3,h,S,16/07/2016,2.5,3067,2,1,1,138,105,1890,-37.8021,144.9965,Northern Metropolitan,4019,1176500
Abbotsford,3,h,S,17/09/2016,2.5,3067,3,1,0,183,,,-37.8022,144.9975,Northern Metropolitan,4019,955000
Abbotsford,2,h,S,17/09/2016,2.5,3067,2,1,1,150,73,1985,-37.8011,145.0004,Northern Metropolitan,4019,890000
Abbotsford,4,h,PI,18/03/2017,2.5,3067,4,2,2,780,135,1900,-37.8073,144.9952,Northern Metropolitan,4019,1330000
Abbotsford,3,t,S,18/03/2017,2.5,3067,3,2,2,0,,2010,-37.8093,144.9959,Northern Metropolitan,4019,900000
Abbotsford,3,u,S,18/03/2017,2.5,3067,3,2,2,4290,27,,-37.8078,144.9965,Northern Metropolitan,4019,1090000
Abbotsford,2,u,S,18/06/2016,2.5,3067,2,1,1,0,60,1970,-37.8015,144.9972,Northern Metropolitan,4019,500000
Abbotsford,2,h,PI,18/06/2016,2.5,3067,2,2,1,124,135,2013,-37.8079,144.9977,Northern Metropolitan,4019,1100000
Abbotsford,2,h,S,19/11/2016,2.5,3067,2,1,0,147,85,1900,-37.808,144.994,Northern Metropolitan,4019,1315000
Abbotsford,1,u,SP,22/08/2016,2.5,3067,1,1,1,0,,,-37.8016,144.9988,Northern Metropolitan,4019,426000
Abbotsford,3,h,PI,22/08/2016,2.5,3067,3,3,1,166,174,2012,-37.8017,145.0001,Northern Metropolitan,4019,1447500
Abbotsford,1,u,S,22/08/2016,2.5,3067,1,1,1,0,50,,-37.8078,144.9965,Northern Metropolitan,4019,457000
Abbotsford,2,h,S,22/08/2016,2.5,3067,2,2,2,98,128,1920,-37.8005,144.9952,Northern Metropolitan,4019,1135000
Abbotsford,4,h,S,24/09/2016,2.5,3067,4,3,1,0,,,-37.7994,144.9965,Northern Metropolitan,4019,1542000
Abbotsford,3,h,S,25/02/2017,2.5,3067,3,2,2,147,18,,-37.805,144.9943,Northern Metropolitan,4019,1290000
Abbotsford,3,h,S,25/02/2017,2.5,3067,3,1,1,168,124,1950,-37.8007,144.9958,Northern Metropolitan,4019,1290000
Abbotsford,1,u,S,26/07/2016,2.5,3067,1,1,1,0,50,2013,-37.8055,144.9961,Northern Metropolitan,4019,470000
Abbotsford,2,h,S,27/11/2016,2.5,3067,2,1,0,162,91,1900,-37.8016,144.9956,Northern Metropolitan,4019,1180000
Abbotsford,3,h,SP,27/11/2016,2.5,3067,3,2,1,120,128,1998,-37.8022,144.9954,Northern Metropolitan,4019,1195000
